影视专区,#genre#
香港C+蓝光,http://gslbmeiah.cdn.hk.chinamobile.com/livehls/MOB-U1-NO/03.m3u8


TVB怀旧剧,http://iptv.tvfix.org/hls/tvbxh.m3u8#http://iptv.tvfix.org/hls/tvbxh2.m3u8

TVB-热播剧,http://iptv.tvfix.org/hls/tvbjd.m3u8

电影（一区),https://livecdn.fptplay.net/hda1/kixhd_hls.smil/chunklist_b2500000.m3u8
电影（二区),http://cn-sdjn3-cu-live-01.bilivideo.com/live-bvc/874778/live_22989278_9714011_1500.m3u8

电影（三区),http://iptv.tvfix.org/hls/mydy.m3u8



中国,#genre#

CCTV1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8



CCTV2,http://117.136.154.98/PLTV/88888888/224/3221225502/index.m3u8



CCTV3,http://39.135.34.150:8080/000000001000/1000000001000011218/1.m3u8?xtkg#http://39.135.32.29:6610/000000001000/1000000001000011218/1.m3u8?#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8#http://117.148.179.160/PLTV/88888888/224/3221231682/index.m3u8


CCTV4,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8

CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225751/index.m3u8
CCTV5,http://39.135.138.60:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://liveplay-kk.rtxapp.com/live/program/live/cctv5hd/2300000/mnf.m3u8,http://121.31.30.87:8085/ysten-business/live/cctv-5/1.m3u8,mitv://fccsovh.pvbox.live:18912/5b1409f20001a05db27ac7fd1bf34467.ts

CCTV5+,http://39.135.138.59:18890/PLTV/88888910/224/3221225751/index.m3u8
CCTV5+,http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8,http://107.148.240.185:13164/v/cctv.php?id=2000204502.m3u8,mitv://fccseuro.pvbox.live:18912/5b1409f200034b730f7fdb4819ffdd6c.ts


CCTV6,http://39.135.34.150:8080/000000001000/1000000001000016466/1.m3u8?xtkg#http://42.81.144.99/live.cache.cmvideo.cn/migu/kailu/cctv6hd265/55/20200407/index.m3u8?&encrypt=1#http://39.135.32.29:6610/000000001000/1000000001000016466/1.m3u8?#http://117.148.179.160/PLTV/88888888/224/3221231724/index.m3u8


CCTV7,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,mitv://fccsovh.pvbox.live:18912/5b1409fa000e431b13d3184e0a673418.ts#http://107.148.240.185:13164/v/cctv.php?id=2000510002.m3u8,mitv://fccseuro.pvbox.live:18912/5b1409fa000e431b13d3184e0a673418.ts
CCTV7,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225805/index.m3u8


CCTV8,http://39.135.34.150:8080/000000001000/1000000001000003736/1.m3u8?xtkg#http://219.151.31.43/liveplay-kk.rtxapp.com/live/program/live/cctv8hd/4000000/mnf.m3u8#http://42.81.144.99/live.cache.cmvideo.cn/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?&encrypt=1#http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8


CCTV9,http://39.135.34.150:8080/000000001000/1000000001000014583/1.m3u8?xtkg#http://39.135.135.30/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://42.81.144.99/live.cache.cmvideo.cn/migu/kailu/20200324/cctv9hd/51/index.m3u8?&encrypt=1#http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225820/1.m3u8#http://39.135.138.58:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://107.148.240.185:13164/v/cctv.php?id=2000499402.m3u8,http://ivi.bupt.edu.cn/hls/cctv9.m3u8,mitv://fccseuro.pvbox.live:18912/5b140954000be15420c43b0f1250f037.ts
CCTV9,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/index.m3u8


CCTV10,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://cm.wshls.homecdn.com/live/11ed8.m3u8


CCTV11,http://39.135.34.150:8080/000000001000/1000000002000019789/1.m3u8?xtkg#http://39.134.65.162/PLTV/88888888/224/3221225517/index.m3u8#http://42.81.144.99/live.cache.cmvideo.cn/migu/kailu/cctv11hd/57/20200103/index.m3u8?&encrypt=1#http://39.135.138.58:18890/PLTV/88888910/224/3221225628/index.m3u8
CCTV11,http://107.148.240.185:13164/v/cctv.php?id=2000204102.m3u8,http://107.148.240.185:13164/v/cctv.php?id=2000204102.m3u8,mitv://fccseuro.pvbox.live:18912/5b1409fb00030ef9989926fcd9821783.ts
CCTV11,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8


CCTV12,http://39.135.138.60:18890/PLTV/88888910/224/3221225629/index.m3u8
CCTV12,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225816/index.m3u8
CCTV12,http://107.148.240.185:13164/v/cctv.php?id=2000202602.m3u8,http://107.148.240.185:13164/v/cctv.php?id=2000202602.m3u8,mitv://fccseuro.pvbox.live:18912/5b1409490000e8f899bd6f146ace3965.ts

CCTV13,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV13,http://107.148.240.185:13164/v/cctv.php?id=2000204602.m3u8,http://107.148.240.185:13164/v/cctv.php?id=2000204602.m3u8,mitv://fccseuro.pvbox.live:18912/5b140953000402ea4f54f3de6ec99058.ts
CCTV13,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8
CCTV13,http://cm.wshls.homecdn.com/live/4e2f.m3u8


CCTV15,https://cctvalih5ca.v.myalicdn.com/live/cctv15_2/index.m3u8

湖南卫视,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228336/42329937.smil/index.m3u8?fmt=ts2hls
湖南卫视,http://117.148.179.172/PLTV/88888888/224/3221231729/index.m3u8
湖南卫视,http://117.148.179.135/PLTV/88888888/224/3221230206/index.m3u8
湖南卫视,http://117.148.179.148/PLTV/88888888/224/3221230824/index.m3u8
湖南卫视,http://117.148.179.37/PLTV/88888888/224/3221228824/index.m3u8
